Timestamp,CPU%,Memory(MB)
2025-01-26 13:52:58,0.0,18.75
2025-01-26 13:53:13,0.0,18.75
2025-01-26 13:53:28,0.0,18.76
2025-01-26 13:53:43,0.0,18.76
2025-01-26 13:53:58,0.0,18.76
2025-01-26 13:54:13,0.0,18.76
2025-01-26 13:54:28,0.0,18.77
2025-01-26 13:54:43,0.0,18.77
2025-01-26 13:54:58,0.0,18.77
2025-01-26 13:55:13,0.0,18.77
2025-01-26 13:55:28,0.0,18.77
2025-01-26 13:55:44,0.0,18.77
2025-01-26 13:55:59,0.8,18.78
2025-01-26 13:56:14,0.0,18.79
2025-01-26 13:56:29,0.1,18.80
2025-01-26 13:56:44,0.0,18.80
2025-01-26 13:56:59,0.4,18.81
2025-01-26 13:57:14,0.0,18.81
2025-01-26 13:57:29,0.0,18.81
2025-01-26 13:57:44,0.0,18.82
2025-01-26 13:57:59,0.0,18.82
2025-01-26 13:58:14,0.0,18.82
2025-01-26 13:58:29,0.0,18.83
2025-01-26 13:58:44,0.0,15.98
2025-01-26 13:58:59,0.0,15.98
2025-01-26 13:59:15,0.0,15.98
2025-01-26 13:59:30,0.0,15.99
2025-01-26 13:59:45,0.0,16.00
2025-01-26 14:00:00,0.1,14.84
2025-01-26 14:00:15,0.0,14.86
2025-01-26 14:00:30,0.0,14.90
2025-01-26 14:00:45,0.0,14.91
2025-01-26 14:01:00,0.0,14.93
2025-01-26 14:01:15,0.0,14.63
2025-01-26 14:01:30,0.0,12.82
2025-01-26 14:01:45,0.0,12.83
2025-01-26 14:02:00,0.0,12.85
2025-01-26 14:02:15,0.0,12.87
2025-01-26 14:02:30,0.0,12.89
2025-01-26 14:02:45,0.0,12.91
2025-01-26 14:03:01,0.0,12.91
2025-01-26 14:03:16,0.0,12.91
2025-01-26 14:03:31,0.0,12.91
2025-01-26 14:03:46,0.1,12.80
2025-01-26 14:04:01,0.0,12.80
2025-01-26 14:04:16,0.0,12.81
2025-01-26 14:04:31,0.0,12.81
2025-01-26 14:04:46,0.0,12.81
2025-01-26 14:05:01,0.0,12.81
2025-01-26 14:05:16,0.0,12.82
2025-01-26 14:05:31,0.0,12.82
2025-01-26 14:05:46,0.0,12.83
2025-01-26 14:06:01,0.0,12.88
2025-01-26 14:06:16,0.0,13.79
2025-01-26 14:06:31,0.0,15.25
2025-01-26 14:06:47,0.0,15.87
2025-01-26 14:07:02,0.0,15.89
2025-01-26 14:07:17,0.0,15.89
2025-01-26 14:07:32,0.0,15.89
2025-01-26 14:07:47,0.0,15.89
2025-01-26 14:08:02,0.0,15.89
2025-01-26 14:08:17,0.0,15.89
2025-01-26 14:08:32,0.0,15.89
2025-01-26 14:08:47,0.0,15.90
2025-01-26 14:09:02,0.0,15.90
2025-01-26 14:09:17,0.0,15.90
2025-01-26 14:09:32,0.0,15.91
2025-01-26 14:09:47,0.0,15.91
2025-01-26 14:10:02,0.0,15.91
2025-01-26 14:10:17,0.0,15.91
2025-01-26 14:10:32,0.0,15.91
2025-01-26 14:10:48,0.0,15.91
2025-01-26 14:11:03,0.0,15.91
2025-01-26 14:11:18,0.0,15.92
2025-01-26 14:11:33,0.0,16.01
2025-01-26 14:11:48,0.0,16.12
2025-01-26 14:12:03,0.0,16.14
2025-01-26 14:12:18,0.0,16.16
2025-01-26 14:12:33,0.0,16.17
2025-01-26 14:12:48,0.0,16.17
2025-01-26 14:13:03,0.0,16.17
2025-01-26 14:13:18,0.0,16.17
2025-01-26 14:13:33,0.0,16.18
2025-01-26 14:13:48,0.4,16.18
2025-01-26 14:14:03,0.1,16.19
2025-01-26 14:14:18,0.2,16.19
2025-01-26 14:14:33,0.0,16.19
2025-01-26 14:14:49,0.1,16.19
2025-01-26 14:15:04,0.4,16.19
2025-01-26 14:15:19,0.0,16.20
2025-01-26 14:15:34,0.4,16.21
2025-01-26 14:15:49,0.0,16.22
2025-01-26 14:16:04,0.3,16.23
2025-01-26 14:16:19,0.0,16.23
2025-01-26 14:16:34,0.1,16.23
2025-01-26 14:28:39,0.0,16.23
2025-01-26 14:28:54,0.0,16.23
2025-01-26 14:29:09,0.0,16.23
2025-01-26 14:29:24,0.2,16.23
2025-01-26 14:29:39,0.0,16.24
2025-01-26 14:29:54,0.4,16.24
2025-01-26 14:30:09,0.0,16.24
2025-01-26 14:30:24,0.0,16.24
2025-01-26 14:30:39,0.0,16.24
2025-01-26 14:30:54,0.0,16.24
2025-01-26 14:31:09,0.0,16.24
2025-01-26 14:31:24,0.0,16.24
2025-01-26 14:31:39,0.0,16.24
2025-01-26 14:31:54,0.0,16.24
2025-01-26 14:32:10,0.0,16.24
2025-01-26 14:32:25,0.0,16.24
2025-01-26 14:32:40,0.0,16.24
2025-01-26 14:32:55,0.0,16.24
2025-01-26 14:33:10,0.0,16.24
2025-01-26 14:33:25,0.1,16.25
2025-01-26 14:33:40,0.0,16.25
2025-01-26 14:33:55,0.0,16.25
2025-01-26 14:34:10,0.0,16.25
2025-01-26 14:34:25,0.0,16.25
2025-01-26 14:34:40,0.1,16.25
2025-01-26 14:34:55,0.0,16.25
2025-01-26 14:35:10,0.0,16.25
2025-01-26 14:35:25,0.0,16.25
2025-01-26 14:35:40,0.0,16.25
2025-01-26 14:35:56,0.0,16.25
2025-01-26 14:36:11,0.0,16.25
2025-01-26 14:36:26,0.0,16.25
2025-01-26 14:36:41,0.0,16.25
2025-01-26 14:36:56,0.0,16.27
2025-01-26 14:37:11,0.6,16.28
2025-01-26 14:37:26,0.1,16.28
2025-01-26 14:37:41,0.0,16.30
2025-01-26 14:37:56,0.0,16.30
2025-01-26 14:38:11,0.0,16.31
2025-01-26 14:38:26,0.0,16.31
2025-01-26 14:38:41,0.0,16.31
2025-01-26 14:38:56,0.0,16.31
2025-01-26 14:39:12,0.0,16.31
2025-01-26 14:39:27,0.0,16.31
2025-01-26 14:39:42,0.0,16.32
2025-01-26 14:39:57,0.0,16.32
2025-01-26 14:40:12,0.0,16.32
2025-01-26 14:40:27,0.0,16.32
2025-01-26 14:40:42,0.0,16.32
2025-01-26 14:40:57,0.0,16.32
2025-01-26 14:41:12,0.0,16.32
2025-01-26 14:41:27,0.0,16.32
2025-01-26 14:41:42,0.0,16.32
2025-01-26 14:41:57,0.0,16.32
2025-01-26 14:42:12,0.0,16.32
2025-01-26 14:42:27,0.0,16.32
2025-01-26 14:42:43,0.0,16.32
2025-01-26 14:42:58,0.0,16.32
2025-01-26 14:43:13,0.0,16.31
